Date,Location,Operator,Type,Aboard,Fatalities,Ground,Summary,City,State
1923-02-26,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Meadville,PA
1923-09-07,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Colton,OH
1923-12-06,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Castalia,OH
1924-03-07,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Grampian,PA
1924-12-21,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Goshen,IN
1925-09-03,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43.0,14.0,0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",Caldwell,OH
1926-02-12,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1.0,1.0,0.0,,Montpelier,OH
1926-09-26,"New York, New York",,Sikorsky S-25,5.0,2.0,0.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,New York,NY
1926-12-16,"Medford, Oregon",PacifiAir Transport,Ryan M-1,1.0,1.0,0.0,,Medford,OR
1927-04-15,"King Hill, Idaho",Varney Air Lines,,1.0,1.0,0.0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,King Hill,ID
1927-04-22,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1.0,1.0,0.0,,Goshen,IN
1927-09-03,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1.0,1.0,0.0,,Willington,CT
1927-09-17,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12.0,7.0,0.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,Hadley,NJ
1927-10-30,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4.0,4.0,0.0,Went into a tailspin and crashed into a corn field,New Brunswick,NJ
1927-11-29,"Corunna, Indiana",National Air Transport,Douglas M-4,1.0,1.0,0.0,,Corunna,IN
1928-01-08,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3.0,3.0,0.0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,Near Canajoharie,NY
1928-02-26,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,Marquette,NE
1928-04-17,"Federal, Wyoming",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,,Federal,WY
1928-05-12,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2.0,2.0,0.0,,Dearborn,MN
1928-06-22,"Lebo, Kansas",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane flew into tornado like winds and crashed to the ground.,Lebo,KS
1928-09-04,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7.0,7.0,0.0,,Pocatello,ID
1928-10-18,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane crashed and burned during the night.,Polk,PA
1928-11-24,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm.,Edgerton,OH
1928-11-25,"Bristolville, Ohio",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane crashed in a snow storm.,Bristolville,OH
1928-11-25,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm,Edgerton,OH
1928-12-01,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5.0,5.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,Spur,TX
1928-12-20,"Huron, Ohio",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane crashed into an apple tree during a snow storm.,Huron,OH
1928-12-23,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4.0,4.0,0.0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.,Chattanooga,TN
1929-01-05,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1.0,1.0,0.0,,Stafford Springs,CT
1929-01-18,"Cove, Oregon",Varney Air Lines,Stearman C-38,1.0,1.0,0.0,While attempting to make an emergency landing on the Minam river the plane hit a bolder,Cove,OR
1929-01-31,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1.0,1.0,0.0,,Morgantown,WV
1929-03-17,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,15.0,14.0,0.0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.,Newark,NJ
1929-03-30,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4.0,4.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",Near Beaumont,CA
1929-04-21,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6.0,6.0,0.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",San Diego,CA
1929-06-24,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,8.0,1.0,0.0,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.,St. Paul,MN
1929-06-29,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1.0,1.0,0.0,,Columbus,OH
1929-08-11,"Clovis, New Mexico",Middle States Airlines,Lockheed Vega,4.0,4.0,0.0,,Clovis,NM
1929-09-02,"Needles, California",Associated Aviators,Lockheed Vega,2.0,1.0,0.0,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.,Needles,CA
1929-09-03,"Mt. Taylor, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8.0,8.0,0.0,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.',Mt. Taylor,NM
1929-09-17,"Jacumba, California",Pickwick Airways,Fairchild 71,2.0,1.0,0.0,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.,Jacumba,CA
1929-09-17,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,The mail plane crashed into Mt. Lamentation and burst into flames.,Mt Lamentation,CT
1929-10-29,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1.0,1.0,0.0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.,Mount Vernon,OH
1929-10-31,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2.0,2.0,0.0,The air taxi crashed into Puget Sound as it attempted to take off.,Off Bremerton,WA
1929-11-30,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1.0,1.0,0.0,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.,Vancouver,WA
1929-12-02,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1.0,1.0,0.0,The mail plane crashed en route during a storm.,Chagrin Falls,OH
1929-12-30,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5.0,5.0,0.0,Crashed on approach onto a golf course.,Amarillo,TX
1930-01-10,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1.0,1.0,0.0,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.,Brawnson,NE
1930-01-19,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16.0,16.0,0.0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.",Oceanside,CA
1930-01-27,"Kansas City, Kansas",Central  Airlines,Travel Air A6000A,5.0,5.0,0.0,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.",Kansas City,KS
1930-02-03,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,While attempting to land the plane struck a building and fell into the Connecticut river.,Hartford,CT
1930-04-18,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4.0,4.0,0.0,Crashed into power lines 150 feet above the ground in fog.,Jersey City,NJ
1930-06-05,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15.0,1.0,0.0,Crashed into Boston Harbor after loosing the right  engine on takeoff.,Boston,MA
1930-07-10,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5.0,5.0,0.0,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms.",Arkansas Pass,TX
1930-10-30,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.,Brookston,IN
1930-11-18,"Techachapi Mountains, California",PacifiAir Transport,Boeing 40,3.0,3.0,,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.",Techachapi Mountains,CA
1931-01-22,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1.0,1.0,0.0,The mail plane flew into Bluff Mountain in dense fog.,Bluff Mountain,WA
1931-03-31,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8.0,8.0,0.0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",Bazaar,KS
1931-05-05,"Burbank, California",PacifiAir Transport,Boeing 40,2.0,2.0,0.0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,Burbank,CA
1931-05-24,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1.0,1.0,0.0,Crashed into a mountain and burned in poor visibility.,Bellefonte,PA
1931-06-11,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,3.0,2.0,0.0,A wing buckled as the plane was attempting to land and the plane crashed.,Walbridge,OH
1931-07-12,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2.0,2.0,0.0,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.,Chicago,IL
1931-07-21,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,,Centralia,IL
1931-08-09,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6.0,6.0,0.0,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.,Cincinnati,OH
1931-09-14,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1.0,1.0,0.0,Crashed in a severe rainstorm while attempting to land.,Chicago,IL
1931-09-16,"Oakland, California",PacifiAir Transport,Boeing 40,4.0,4.0,0.0,Crashed into San Francisco Bay shortly after taking off from Oakland airport.,Oakland,CA
1931-11-05,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5.0,5.0,0.0,Crashed  onto a golf course and burst into flames after circling the airport twice to land.,Camden,NJ
1931-11-23,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1.0,1.0,0.0,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark.,Salt Lake City,UT
1931-11-26,"Pasco, Washington",Varney Air Lines,Boeing 40,1.0,1.0,0.0,Crashed in fog while attempting to land.,Pasco,WA
1931-12-05,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,6.0,2.0,0.0,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.,Kewanee,IL
1931-12-31,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,5.0,4.0,0.0,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed.",Springfield,OH
1932-01-29,"Lebec, California",Century PacifiLines,Stinson SM-6000B,8.0,8.0,0.0,Crashed into a canyon in mountains during a snowstorm.,Lebec,CA
1932-02-01,"Off Miami, Florida",Bimini Airways,Fairchild,5.0,5.0,0.0,Disappeared while en route on a 45 minute flight.,Off Miami,FL
1932-02-02,"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,1.0,1.0,0.0,Mail plane crashed.,Marcellus,MI
1932-02-02,"Rio Vista, California",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,Struck an irrigation ditch and caught fire  during landing.,Rio Vista,CA
1932-03-08,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,5.0,2.0,0.0,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings.",Saint Louis,IL
1932-03-19,"Calimesa, California",American Airways,Fokker F-10A,7.0,7.0,0.0,Crashed into an orchard after striking power lines in fog.,Calimesa,CA
1932-03-21,"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha,1.0,1.0,0.0,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.,Steubenville,OH
1932-03-31,"Bedford, Ohio",National Air Transport,Boeing 95,1.0,1.0,0.0,,Bedford,OH
1932-04-21,"Fort Wayne, Indiana",Transamerica Airlines,Stearman C-3MB,1.0,1.0,0.0,,Fort Wayne,IN
1932-05-03,"Portland, Oregon",Varney Air Lines,Boeing 40,2.0,2.0,0.0,,Portland,OR
1932-05-16,"Burbank, California",PacifiAir Transport,Boeing 40,3.0,3.0,0.0,Crashed and burned  in fog while attempting to land at Burbank Airport. Both pilots and the radio man were killed.,Burbank,CA
1932-09-08,"Salt Flats, Texas",American Airways,Fokker F-10,4.0,3.0,0.0,The mail plane struck a mountain and burned encountering poor weather conditions.,Salt Flats,TX
1932-11-25,"Marianna, Arkansas",Hunter Airways,Travel Air 6000,2.0,2.0,0.0,Became lost and circled  until the plane struck an oak tree and crashed onto a island in the bayou.,Marianna,AR
1932-12-14,"Amarillo, Texas",Trans Continental and Western Air,Ford 5,2.0,2.0,0.0,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.,Amarillo,TX
1932-12-14,"Rocky Ridge, Colorado",Boeing Air Transport,Boeing 40,1.0,1.0,0.0,,Rocky Ridge,CO
1933-01-14,"Newark, New Jersey",Eastern Air Transport,Curtiss Condor 18,2.0,2.0,0.0,Went into a vertical bank and crashed and burned.,Newark,NJ
1933-01-20,"Marietta, Georgia",American Airways,Stearman 4,1.0,1.0,0.0,,Marietta,GA
1933-01-20,"Bourne, Texas",American Airways,Stearman 4,1.0,1.0,0.0,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.,Bourne,TX
1933-01-24,"Eugene, Oregon",PacifiAir Transport,Ford 5-AT-D,3.0,1.0,0.0,The mail plane crashed while taking off.,Eugene,OR
1933-03-25,"Hayward, California",Varney Airlines,Lockheed Orion 9,3.0,3.0,11.0,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.",Hayward,CA
1933-04-04,"Off Barnegat, New Jersey",Military - U.S. Navy,Goodyear-Zeppelin U.S.S. Akron (airship),76.0,73.0,0.0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the AtlantiOcean. Decision by the commander to fly into a storm despite the presence of lightning.",Off Barnegat,NJ
1933-06-02,"Bowling Green, Virginia",Eastern Air Transport,Pitcairns PA-6,1.0,1.0,0.0,The mail plane crashed into a ravine.,Bowling Green,VA
1933-08-29,"Quay, New Mexico",Trans Continental and Western Air,Ford 5-AT-B Tri Motor,5.0,5.0,0.0,Crashed during a storm while attempting to make an emergency landing.,Quay,NM
1933-10-10,"Chesterton, Indiana",United Air Lines,Boeing 247-D,10.0,10.0,0.0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. This was the first proven case of sabotage in the history of commercial aviation.",Chesterton,IN
1933-11-09,"Portland, Oregon",United Air Lines,Boeing 247,9.0,4.0,,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.,Portland,OR
1933-11-10,"Moriarty, New Mexico",Trans Continental and Western Air,Northrop Delta,1.0,1.0,0.0,,Moriarty,NM
1933-11-24,"Wedron, Illinois",National Air Transport,Boeing 247,2.0,2.0,0.0,,Wedron,IL
1934-02-23,"Near Salt Lake City, Utah",Boeing Aircraft Company,Boeing 247,8.0,8.0,0.0,"Crashed on top of Parley's canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne.",Near Salt Lake City,UT
1934-03-06,"Petersburg, Illinois",American Airways,Fairchild Pilgrim 100A,4.0,4.0,0.0,Crashed into a snow drift due to icing in a blizzard.,Petersburg,IL
1934-06-09,"Mongaup Mountain, New York",American Airways,Curtiss Condor T-32,7.0,7.0,0.0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route.",Mongaup Mountain,NY
1934-06-23,"Burbank, California",Aerevias Centrales Air Service,Lockheed Orion,1.0,1.0,0.0,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.,Burbank,CA
1934-07-09,"San Bernardino, California",United Air Services,Lockheed Vega,4.0,3.0,0.0,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.,San Bernardino,CA
1934-08-31,"Amazonia, Missouri",Rapid Air Transport,Stinson  SM-6000B,5.0,5.0,0.0,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.,Amazonia,MO
1934-11-15,"Amazonia, Montana",Rapid Air Transport,Stinson SM-6000-B,2.0,2.0,0.0,The mail plane crashed and burned on a farm.,Amazonia,MT
1934-12-08,"Columbia, Missouri",Braniff Airlines,Lockheed Vega 5C,1.0,1.0,0.0,The mail plane crashed to the ground from a low altitude. Icing.,Columbia,MO
1934-12-22,"Sunbright, Tennessee",American Airlines,Lockheed Orion 9D,1.0,1.0,0.0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility.",Sunbright,TN
1935-01-26,"Pittsburgh, Pennsylvania",Trans Continental and Western Air,Consolidated Fleetster,1.0,1.0,0.0,The mail plane crashed and burned soon after taking off in a blinding snowstorm.,Pittsburgh,PA
1935-05-01,"Near Walsenberg, Colorado",Varney Air Lines,Lockheed Vega,1.0,1.0,0.0,"Crashed at Rattlesnake Butte after the plane lost engine power. James Montijo, 40, the man who taught Amelia Earhart to fly, killed.",Near Walsenberg,CO
1935-05-06,"Atlanta, Missouri",Trans Continental and Western Air,Douglas DC-2-112,14.0,5.0,0.0,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly.",Atlanta,MO
1935-05-18,"Flint, Michigan",Knowles Flying Service of Detroit,Ford model 4-AT-E,12.0,3.0,0.0,"While on a sightseeing trip, the plane ran out of fuel and crashed. Carelessness and negligence on the part of the pilot for not replenishing his fuel supply before it got dangerously low and poor judgment on his part for attempting to return to the airport when there was open terrain ahead of him. Many passengers did not use their seatbelts nor were they instructed in their use.",Flint,MI
1935-05-27,"Glendo, Wyoming",Wyoming Air Service,Boeing 221,1.0,1.0,0.0,,Glendo,WY
1935-05-28,"Maywood, Illinois",Chicago and Southern Airlines,Stinson SM6000B Tri-motor,2.0,2.0,0.0,Crashed into the ground on a farm at high speed.,Maywood,IL
1935-07-19,"Off Chandeleur Island, Mississippi",Wedell-Williams Air Service Corporation,General 102-E,2.0,2.0,0.0,The plane deviated from its course and flew 20 miles off shore and crashed.  Cause unknown.,Off Chandeleur Island,MS
1935-08-14,"Near Gilmer, Texas",Delta Air Lines,Stinson Model A,4.0,4.0,0.0,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.,Near Gilmer,TX
1935-08-15,"Near Glendo, Wyoming",Aero Mayflower Transit Co,"Waco, model YLC",3.0,3.0,0.0,"The plane flew into a mountain 43 miles West of Glendo in heavy fog.  Against advice to the contrary, the pilot decided to fly a direct route to Denver rather than go around, following the valleys and airways used by other pilots. The direct route took him across some of the most dangerous flying country in the west.",Near Glendo,WY
1935-08-15,"Walakpa, near Point Barrow, Alaska",Private,Lockheed Orion 9E Explorer float plane,2.0,2.0,0.0,"Dense fog caused the pilot to make a forced landing about 15 miles south of Point Barrow.  After some mechanical repairs, the plane took off, rose to about 50 feet and then crashed into shallow water. Loss of control of the aircraft at a low altitude after sudden engine failure due to the extreme nose-heaviness of the aircraft. Adventurer, Wiley Post, 37, and humorist, Will Rogers, 56, killed. Most experts believe that a combination of miscalculations in the design and operation of the heavily customized aircraft resulted in the uncontrollable spin that occurred right after takeoff.","Walakpa, near Point Barrow",AK
1935-09-01,"Burbank, California",Western Air Express,Boeing 247,3.0,3.0,0.0,Lost altitude and hit power lines after developing engine trouble after taking off.,Burbank,CA
1935-10-07,"Near Cheyenne, Wyoming",United Air Lines,Boeing 247D,12.0,12.0,0.0,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver.",Near Cheyenne,WY
1935-10-21,"Troy, New York",Chamberlin Flying Service,Curtiss AT-32C Condor,6.0,1.0,0.0,The plane lost the left engine shortly after taking off. The pilot tried to make an emergency landing but was caught in a downdraft and the plane crashed.,Troy,NY
